,Name,Location,Price,Kms_driven,Fuel_type,Year,Company
149,Suzuki,Pune,544799,66426, Petrol ,2017,Maruti
150,Polo,Pune,710899,16950, Petrol ,2018,Volkswagen
151,Suzuki,Pune,580599,18866, Petrol ,2016,Maruti
152,Suzuki,Pune,638499,53245, Diesel ,2017,Maruti
153,Verna,Pune,654699,44543, Petrol ,2016,Hyundai
154,Suzuki,Pune,894199,50128, Diesel ,2018,Maruti
155,Suzuki,Pune,858599,56349, Diesel ,2018,Maruti
156,Suzuki,Pune,992199,69524, Diesel ,2017,Maruti
157,Polo,Pune,714999,41218, Petrol ,2017,Volkswagen
158,Suzuki,Pune,765599,9085, Petrol ,2020,Maruti
159,Motors,Bangalore,1800299,11292, Diesel ,2019,MG
160,Benz,Mumbai,1190000,75000, Diesel ,2011,Mercedes
161,Creta,Hyderabad,1452000,28000, Diesel,2018,Hyundai
162,Rapid,Hyderabad,1026000,48000, Diesel,2018,Skoda
163,Suzuki,Hyderabad,821000,51000, Diesel,2017,Maruti
164,Grand,Chennai,725000,24990, Petrol,2020,Hyundai
165,Suzuki,Delhi,600000,48600, Diesel ,2015,Maruti
166,Suzuki,Delhi,336000,3600, Petrol ,2019,Maruti
167,Indigo,Nanded,200000,115000, Diesel,2012,Tata
168,Suzuki,Pune,680699,29594, Petrol ,2019,Maruti
169,City,Pune,714899,55953, Petrol ,2015,Honda
170,Suzuki,Pune,316799,16980, Petrol ,2016,Maruti
171,Ecosport,Pune,675099,41828, Diesel ,2016,Ford
172,Suzuki,Pune,1057399,64803, Diesel ,2018,Maruti
173,Suzuki,Pune,938099,44460, Diesel ,2018,Maruti
174,Nexon,Pune,1057699,14276, Diesel ,2018,Tata
175,Suzuki,Pune,610099,23425, Petrol ,2019,Maruti
176,Suzuki,Pune,452199,23056, Petrol ,2018,Maruti
177,Elite,Pune,712699,16102, Petrol ,2019,Hyundai
178,Suzuki,Pune,838699,56615, Diesel ,2019,Maruti
179,TUV300,Pune,666899,70317, Diesel ,2015,Mahindra
180,Motors,Bangalore,1681899,6760, Petrol ,2020,MG
181,Motors,Chennai,1854599,8870, Petrol ,2020,MG
182,Suzuki,Pune,571499,78209, Petrol ,2016,Maruti
183,Vento,Pune,589199,64292, Petrol ,2015,Volkswagen
184,Innova,Chennai,2350000,57000, Diesel,2020,Toyota
185,Fortuner,Chennai,3650000,42000, Diesel,2019,Toyota
186,Innova,Hyderabad,445000,141000, Diesel,2011,Toyota
187,Rexton,Malappuram,1231000,82000, Diesel,2017,Ssangyong
188,Fortuner,Chandigarh,1231000,117000, Diesel ,2012,Toyota
189,TUV300,Chennai,600000,70000, Diesel,2015,Mahindra
190,i20,Bangalore,320000,89450, Diesel ,2011,Hyundai
191,Suzuki,Madurai,1175000,29000, Petrol,2020,Maruti
192,Suzuki,Pune,351699,58771, Petrol ,2015,Maruti
193,Suzuki,Pune,299199,53266, Petrol ,2016,Maruti
194,Amaze,Pune,657199,9200, Petrol ,2019,Honda
195,Ecosport,Pune,539299,61721, Petrol ,2014,Ford
196,Grand,Pune,608399,18333, Petrol ,2017,Hyundai
197,Ecosport,Pune,1042799,51780, Petrol ,2019,Ford
198,Suzuki,Pune,645199,30854, Petrol ,2018,Maruti
199,Ecosport,Pune,811899,24680, Petrol ,2017,Ford
200,Vento,Pune,557799,85663, Petrol ,2015,Volkswagen
201,Bolero,Pune,873999,20541, Diesel ,2021,Mahindra
202,i20,Pune,278299,64182, Petrol ,2010,Hyundai
203,Suzuki,Pune,986399,58819, Diesel ,2017,Maruti
204,Suzuki,Pune,610099,32057, Petrol ,2019,Maruti
205,Compass,Pune,1749899,18403, Petrol ,2018,Jeep
206,Suzuki,Pune,443899,7877, Petrol ,2018,Maruti
207,Verna,Pune,936299,15509, Petrol ,2018,Hyundai
208,Jazz,Madurai,850000,15000, Petrol,2018,Honda
209,Suzuki,Madurai,595000,75000, Diesel,2017,Maruti
210,i10,Mumbai,175000,62000, Petrol,2008,Hyundai
211,Creta,Chennai,930000,134500, Diesel,2018,Hyundai
212,Fortuner,BolpurSantiniketan,1500000,63896, Diesel,2012,Toyota
213,Scorpio,Chennai,159000,90000, Diesel,2005,Mahindra
214,Suzuki,Chennai,69000,58000, Petrol,2007,Maruti
215,Ikon,Chennai,69000,85000, Diesel,2008,Ford
216,Suzuki,Pune,580599,48329, Petrol ,2016,Maruti
217,Kwid,Pune,404499,21301, Petrol ,2019,Renault
218,Suzuki,Pune,838699,34566, Diesel ,2019,Maruti
219,Kwid,Pune,446499,34297, Petrol ,2018,Renault
220,Hexa,Pune,1047499,119571, Diesel ,2017,Tata
221,Suzuki,Pune,345599,27957, Petrol ,2018,Maruti
222,Ecosport,Pune,784399,27210, Petrol ,2018,Ford
223,Suzuki,Pune,489399,21610, Petrol ,2014,Maruti
224,Suzuki,Pune,627499,40902, Petrol ,2017,Maruti
225,Suzuki,Pune,288399,11057, Petrol ,2015,Maruti
226,Suzuki,Pune,573999,72505, Petrol ,2016,Maruti
227,Creta,Pune,1373699,31338, Petrol ,2018,Hyundai
228,Suzuki,Pune,279799,28674, Petrol ,2016,Maruti
229,Elite,Pune,658199,25416, Petrol ,2018,Hyundai
230,Grand,Pune,465499,14765, Petrol ,2016,Hyundai
231,Etios,Pune,563999,60380, Diesel ,2015,Toyota
232,Santro,Chennai,59000,85000, Petrol,2001,Hyundai
233,Getz,Chennai,119000,73000, Petrol,2006,Hyundai
234,Santro,Chennai,69000,85000, Petrol,2004,Hyundai
235,Santro,Chennai,89000,85000, Petrol,2002,Hyundai
236,Figo,Chennai,129000,86000, Diesel,2012,Ford
237,Fortuner,Lucknow,2931000,55000, Diesel,2019,Toyota
